"bhk","price","flr","area","sale","furnus","owner","f1","f2"
2,6200000.00,"2 - 8",640,1,0,1,"2 ","8"
1,3800000.00,"4 - 5",,1,0,,"4 ","5"
1,2050000.00,"12 - 12",388,0,0,1,"12", 12
1,3900000.00,"6 - 7",435,1,0,3,"6 ","7"
1,4000000.00,"1 - 2",300,1,0,1,"1 ","2"
1,6000000.00,"8 - 16",410,1,0,0,"8 ","16"
3,21000000.00,"15 - 27",1290,1,1,1,"15", 27
2,9500000.00,"4 - 12",,1,0,,"4 ","12"
2,11200000.00,"16 - 26",636,1,0,1,"16", 26
3,17000000.00,"15 - 32",940,1,0,,"15", 32
1,4200000.00,"13 - 20",475,1,0,1,"13", 20
1,2500000.00,"4 - 8",468,1,0,,"4 ","8"
1,4500000.00,"2 - 7",,1,1,,"2 ","7"
3,24500000.00,"15 - 27",1250,1,1,1,"15", 27
1,4900000.00,"9 - 22",450,1,1,3,"9 ","22"
2,18100000.00,"11 - 18",818,0,0,1,"11", 18
2,6000000.00,"5 - 8",670,1,0,1,"5 ","8"
1,4500000.00,"9 - 18",580,0,1,,"9 ","18"
1,,"2 - 7",,1,0,0,"2 ","7"
2,4500000.00,"7 - 7",,1,1,,"7 ","7"
2,4500000.00,"10 - 19",584,1,2,1,"10", 19
2,3000000.00,"3 - 11",640,1,1,1,"3 ","11"
3,25000000.00,"10 - 31",1260,1,0,1,"10", 31
1,2900000.00,"6 - 10",650,1,0,0,"6 ","10"
2,6800000.00,"3 - 6",700,1,0,0,"3 ","6"
1,7200000.00,"4 - 15",430,1,1,1,"4 ","15"
1,1250000.00,"1 - 3",,1,1,1,"1 ","3"
2,10000000.00,"8 - 27",,0,1,,"8 ","27"
2,10000000.00,"8 - 27",,0,1,,"8 ","27"
3,17500000.00,"3 - 12",844,1,0,1,"3 ","12"
1,5000000.00,"4 - 7",450,1,1,3,"4 ","7"
3,18000000.00,"18 - 23",,0,1,1,"18", 23
1,7500000.00,"3 - 13",453,1,1,,"3 ","13"
1,2400000.00,"2 - 7",,1,0,,"2 ","7"
1,2200000.00,"10 - 13",,1,0,,"10", 13
1,8200000.00,"2 - 7",450,1,2,1,"2 ","7"
1,2500000.00,"4 - 7",430,1,1,,"4 ","7"
2,15500000.00,"2 - 12",676,1,0,1,"2 ","12"
3,21000000.00,"18 - 28",1115,1,1,1,"18", 28
